@RELATION mortality

@ATTRIBUTE Country Code NUMERIC
@ATTRIBUTE Country Name NUMERIC
@ATTRIBUTE Year NUMERIC
@ATTRIBUTE Age Group NUMERIC
@ATTRIBUTE Sex NUMERIC
@ATTRIBUTE Number of Deaths NUMERIC
@ATTRIBUTE Death Rate Per 100,000 NUMERIC

@DATA
0,0,1970,0,2,4624,18181
0,0,1970,0,1,2340,14349
0,0,1970,0,0,8765,15306
0,0,1970,16,2,3625,31551
0,0,1970,16,1,1744,26863
0,0,1970,16,0,7209,29783
0,0,1970,6,2,9374,8877
0,0,1970,6,1,8822,7583
0,0,1970,6,0,13534,8286
0,0,1970,1,2,9297,19864
0,0,1970,1,1,8894,19356
0,0,1970,1,0,13532,19615
0,0,1970,11,2,8074,19276
0,0,1970,11,1,5334,18000
0,0,1970,11,0,11900,18717
0,0,1970,2,2,777,14636
0,0,1970,2,1,861,15166
0,0,1970,2,0,8136,14863
0,0,1970,3,2,871,15500
0,0,1970,3,1,957,18300
0,0,1970,3,0,8313,17968
0,0,1970,4,2,5085,19245
0,0,1970,4,1,5469,23753
0,0,1970,4,0,10342,21617
0,0,1970,5,2,4894,21437
0,0,1970,5,1,5724,26789
0,0,1970,5,0,10396,24208
0,0,1970,7,2,4882,23795
0,0,1970,7,1,5634,28824
0,0,1970,7,0,10313,26383
0,0,1970,8,2,5087,26759
0,0,1970,8,1,7972,755
0,0,1970,8,0,11632,30622
0,0,1970,9,2,5367,31522
0,0,1970,9,1,5741,1045
0,0,1970,9,0,11512,236
0,0,1970,10,2,5824,2115
0,0,1970,10,1,5742,2457
0,0,1970,10,0,11855,2287
0,0,1970,12,2,8176,10983
0,0,1970,12,1,7917,4869
0,0,1970,12,0,13059,4976
0,0,1970,13,2,8494,13574
0,0,1970,13,1,8139,12938
0,0,1970,13,0,13825,13273
0,0,1970,14,2,9796,19762
0,0,1970,14,1,10037,20122
0,0,1970,14,0,14910,19962
0,0,1970,15,2,8547,23463
0,0,1970,15,1,10090,25455
0,0,1970,15,0,14803,25092
0,0,1970,17,2,8044,29434
0,0,1970,17,1,9945,5163
0,0,1970,17,0,14049,31022
0,0,1970,18,2,5215,6525
0,0,1970,18,1,7752,8480
0,0,1970,18,0,11563,7556
0,0,1970,19,2,729,10430
0,0,1970,19,1,5023,14176
0,0,1970,19,0,8444,10769
0,0,1970,20,2,3672,12471
0,0,1970,20,1,2965,12222
0,0,1970,20,0,7612,12358
0,0,1980,0,2,3763,14686
0,0,1980,0,1,1427,9894
0,0,1980,0,0,7138,14052
0,0,1980,16,2,2326,26295
0,0,1980,16,1,15436,22025
0,0,1980,16,0,6195,24353
0,0,1980,6,2,8852,5421
0,0,1980,6,1,7203,31066
0,0,1980,6,0,12453,5116
0,0,1980,1,2,8657,13189
0,0,1980,1,1,7254,12686
0,0,1980,1,0,12400,12952
0,0,1980,11,2,7882,17979
0,0,1980,11,1,5204,14701
0,0,1980,11,0,11655,15319
0,0,1980,2,2,5745,18262
0,0,1980,2,1,5315,15673
0,0,1980,2,0,11476,18025
0,0,1980,3,2,8006,21573
0,0,1980,3,1,5631,19291
0,0,1980,3,0,12622,21300
0,0,1980,4,2,8447,24817
0,0,1980,4,1,8049,24679
0,0,1980,4,0,13740,24763
0,0,1980,5,2,8117,26503
0,0,1980,5,1,8305,28626
0,0,1980,5,0,13697,28028
0,0,1980,7,2,8167,28569
0,0,1980,7,1,8353,30632
0,0,1980,7,0,13751,29926
0,0,1980,8,2,8369,32083
0,0,1980,8,1,10093,1962
0,0,1980,8,0,14705,891
0,0,1980,9,2,9668,1752
0,0,1980,9,1,8521,2272
0,0,1980,9,0,14507,1991
0,0,1980,10,2,10134,4222
0,0,1980,10,1,8467,3572
0,0,1980,10,0,14790,3930
0,0,1980,12,2,11344,12681
0,0,1980,12,1,9840,11687
0,0,1980,12,0,15573,12202
0,0,1980,13,2,11486,16751
0,0,1980,13,1,10003,13746
0,0,1980,13,0,15746,16182
0,0,1980,14,2,11556,20703
0,0,1980,14,1,11514,20565
0,0,1980,14,0,1465,20629
0,0,1980,15,2,10400,25325
0,0,1980,15,1,11520,25717
0,0,1980,15,0,1233,25533
0,0,1980,17,2,9685,29671
0,0,1980,17,1,11325,5224
0,0,1980,17,0,15475,31144
0,0,1980,18,2,5613,6537
0,0,1980,18,1,8333,8473
0,0,1980,18,0,12843,7568
0,0,1980,19,2,4938,10476
0,0,1980,19,1,5666,14208
0,0,1980,19,0,10386,13949
0,0,1980,20,2,3688,11177
0,0,1980,20,1,2955,4948
0,0,1980,20,0,7614,11022
0,0,1990,0,2,2355,10256
0,0,1990,0,1,14853,7230
0,0,1990,0,0,6102,9282
0,0,1990,16,2,14683,19192
0,0,1990,16,1,12628,17926
0,0,1990,16,0,3155,18651
0,0,1990,6,2,6382,27242
0,0,1990,6,1,4629,25294
0,0,1990,6,0,10579,25712
0,0,1990,1,2,4309,3038
0,0,1990,1,1,3626,2520
0,0,1990,1,0,9022,2774
0,0,1990,11,2,1011,10830
0,0,1990,11,1,494,9324
0,0,1990,11,0,8011,10248
0,0,1990,2,2,267,8793
0,0,1990,2,1,548,10823
0,0,1990,2,0,5569,9929
0,0,1990,3,2,828,14985
0,0,1990,3,1,971,15670
0,0,1990,3,0,8285,15320
