Country Code,Country Name,Year,Age Group,Sex,Number of Deaths,"Death Rate Per 100,000",Age (midpoint),Log Deaths
0,0,1970,0-6 days,2,19241,318292.9,0.01,9.86485066892121
0,0,1970,0-6 days,1,12600,219544.2,0.01,9.441531454869693
0,0,1970,0-6 days,0,31840,270200.7,0.01,10.368510046500305
0,0,1970,7-27 days,2,15939,92701.0,0.05,9.676586952344206
0,0,1970,7-27 days,1,11287,68594.5,0.05,9.33149549353265
0,0,1970,7-27 days,0,27226,80912.5,0.05,10.211964406994612
0,0,1970,28-364 days,2,37513,15040.1,0.5,10.532469475620287
0,0,1970,28-364 days,1,32113,13411.8,0.5,10.37704735110963
0,0,1970,28-364 days,0,69626,14242.6,0.5,11.150907702131205
0,0,1970,1-4 years,2,36694,4288.2,2.5,10.510395784979163
0,0,1970,1-4 years,1,32848,4022.9,2.5,10.399676582049104
0,0,1970,1-4 years,0,69542,4158.6,2.5,11.149700545269804
0,0,1970,5-9 years,2,3467,396.2,7.0,8.151333337900432
0,0,1970,5-9 years,1,2492,306.0,7.0,7.821242083523558
0,0,1970,5-9 years,0,5959,352.7,7.0,8.692825760059396
0,0,1970,10-14 years,2,1723,230.8,12.0,7.452402451223638
0,0,1970,10-14 years,1,1806,262.3,12.0,7.499423290592229
0,0,1970,10-14 years,0,3529,245.9,12.0,8.169053149927343
0,0,1970,15-19 years,2,1816,282.9,17.0,7.504942068396171
0,0,1970,15-19 years,1,1902,324.7,17.0,7.551186867296149
0,0,1970,15-19 years,0,3718,302.8,17.0,8.22121009392507
0,0,1970,20-24 years,2,2240,392.9,22.0,7.714677473800927
0,0,1970,20-24 years,1,2630,508.4,22.0,7.875119281040293
0,0,1970,20-24 years,0,4870,447.9,22.0,8.491054533806542
0,0,1970,25-29 years,2,2050,432.4,27.0,7.62608275807238
0,0,1970,25-29 years,1,2889,673.7,27.0,7.969011781106478
0,0,1970,25-29 years,0,4939,547.0,27.0,8.505120610181969
0,0,1970,30-34 years,2,2038,510.1,32.0,7.620214770574455
0,0,1970,30-34 years,1,2799,779.0,32.0,7.937374696163295
0,0,1970,30-34 years,0,4838,637.4,32.0,8.48446336679332
0,0,1970,35-39 years,2,2242,670.0,37.0,7.715569534520208
0,0,1970,35-39 years,1,3358,1117.1,37.0,8.119398589612294
0,0,1970,35-39 years,0,5600,881.6,37.0,8.630700432209832
0,0,1970,40-44 years,2,2528,918.4,42.0,7.835579246669965
0,0,1970,40-44 years,1,2908,1163.3,42.0,7.975564658495202
0,0,1970,40-44 years,0,5437,1035.0,42.0,8.601166625192416
0,0,1970,45-49 years,2,2993,1343.3,47.0,8.004365564979574
0,0,1970,45-49 years,1,2909,1405.4,47.0,7.975908360165538
0,0,1970,45-49 years,0,5902,1373.2,47.0,8.683215975240689
0,0,1970,50-54 years,2,3569,2016.0,52.0,8.180320874773685
0,0,1970,50-54 years,1,3300,1950.9,52.0,8.101980731853192
0,0,1970,50-54 years,0,6870,1984.2,52.0,8.835064935031076
0,0,1970,55-59 years,2,3911,2862.9,57.0,8.271804031154709
0,0,1970,55-59 years,1,3532,2624.8,57.0,8.169902647359145
0,0,1970,55-59 years,0,7443,2744.7,57.0,8.915163617762142
0,0,1970,60-64 years,2,4239,4229.2,62.0,8.352318548226004
0,0,1970,60-64 years,1,4514,4449.7,62.0,8.415160465851086
0,0,1970,60-64 years,0,8752,4340.1,62.0,9.077151777732437
0,0,1970,65-69 years,2,3968,5870.4,67.0,8.286269452783065
0,0,1970,65-69 years,1,4580,6528.5,67.0,8.429672593886743
0,0,1970,65-69 years,0,8547,6205.6,67.0,9.053452616439039
